,ICC,Lower,Higher
log-sigma-1-mm-3D_ngtdm_Coarseness_32_binCount,0.9711542311303184,0.9687565394292604,0.9733704235715879
log-sigma-1-mm-3D_ngtdm_Complexity_32_binCount,0.6465029693423768,0.622292653959846,0.6694779151745074
log-sigma-1-mm-3D_ngtdm_Contrast_32_binCount,0.8012396622874678,0.7862479665751018,0.8152885902967696
log-sigma-1-mm-3D_ngtdm_Strength_32_binCount,0.8697745756217766,0.8595506087901296,0.8793026738565682
log-sigma-2-mm-3D_firstorder_10Percentile_32_binCount,0.8027356553156537,0.7878435015889333,0.8166896071645149
log-sigma-2-mm-3D_firstorder_90Percentile_32_binCount,0.9621258975996336,0.9589931632206709,0.965023585234657
log-sigma-2-mm-3D_firstorder_Energy_32_binCount,0.989034644216142,0.9881142451845877,0.9898841399569238
log-sigma-2-mm-3D_firstorder_Entropy_32_binCount,0.7966123577284057,0.7813163399323467,0.8109521480369047
log-sigma-2-mm-3D_firstorder_InterquartileRange_32_binCount,0.90258424711843,0.8947902221327716,0.90982835083748
log-sigma-2-mm-3D_firstorder_Kurtosis_32_binCount,0.5007574376167818,0.46977239823553346,0.5305100430120164
log-sigma-2-mm-3D_firstorder_Maximum_32_binCount,0.918781533617632,0.9122240173183451,0.9248684198017199
log-sigma-2-mm-3D_firstorder_MeanAbsoluteDeviation_32_binCount,0.8805981664649959,0.8711641496687543,0.8893821982370357
log-sigma-2-mm-3D_firstorder_Mean_32_binCount,0.9199671206528844,0.9135007645357058,0.9259687784466456
log-sigma-2-mm-3D_firstorder_Median_32_binCount,0.9431429865559138,0.938489536456095,0.9474539572544529
log-sigma-2-mm-3D_firstorder_Minimum_32_binCount,0.6714036727913351,0.6485323257786487,0.6930639147841077
log-sigma-2-mm-3D_firstorder_Range_32_binCount,0.7812150216612317,0.7649122647779387,0.7965176761537055
log-sigma-2-mm-3D_firstorder_RobustMeanAbsoluteDeviation_32_binCount,0.9059342182671749,0.8983939511017729,0.9129405701977255
log-sigma-2-mm-3D_firstorder_RootMeanSquared_32_binCount,0.8976266789954693,0.8894590425105446,0.9052210859215636
log-sigma-2-mm-3D_firstorder_Skewness_32_binCount,0.38937608417282393,0.3544519385171832,0.42321527275728166
log-sigma-2-mm-3D_firstorder_TotalEnergy_32_binCount,0.989034644216142,0.9881142451845877,0.9898841399569238
log-sigma-2-mm-3D_firstorder_Uniformity_32_binCount,0.8004717443157153,0.7854312226576166,0.8145675865410663
log-sigma-2-mm-3D_firstorder_Variance_32_binCount,0.6920073595821344,0.6702839711716735,0.7125456967400999
log-sigma-2-mm-3D_glcm_Autocorrelation_32_binCount,0.4398561784362043,0.4065944717271999,0.47195387096832103
log-sigma-2-mm-3D_glcm_ClusterProminence_32_binCount,0.6820290917863074,0.6597458874668811,0.7031140567859269
log-sigma-2-mm-3D_glcm_ClusterShade_32_binCount,0.6198305600779183,0.5942380542165108,0.6441690794184017
log-sigma-2-mm-3D_glcm_ClusterTendency_32_binCount,0.7476243832018585,0.7291978294364987,0.7649675644808147
log-sigma-2-mm-3D_glcm_Contrast_32_binCount,0.8038626312873628,0.7890454481702681,0.8177450469404547
log-sigma-2-mm-3D_glcm_Correlation_32_binCount,0.6211911650407899,0.5956733577575768,0.6454566680573316
log-sigma-2-mm-3D_glcm_DifferenceAverage_32_binCount,0.8259447061414814,0.8126228875552522,0.8384038166834286
log-sigma-2-mm-3D_glcm_DifferenceEntropy_32_binCount,0.8255342971963516,0.8121850595586216,0.838019565348403
log-sigma-2-mm-3D_glcm_DifferenceVariance_32_binCount,0.8025431378840137,0.7876382686808742,0.8165092358440329
log-sigma-2-mm-3D_glcm_Id_32_binCount,0.8357899353045735,0.8231500266048055,0.8476020351221952
log-sigma-2-mm-3D_glcm_Idm_32_binCount,0.8334419341501276,0.8206389718315398,0.8454086908332444
log-sigma-2-mm-3D_glcm_Idmn_32_binCount,0.8062691554571543,0.7916127804679,0.8199982287353723
log-sigma-2-mm-3D_glcm_Idn_32_binCount,0.8277188309608571,0.8145191639403507,0.8400619442232586
log-sigma-2-mm-3D_glcm_Imc1_32_binCount,0.8031445823973696,0.7882795132754505,0.8170726733158272
